kb_number,short_description,introduction,instructions,article_body
KB00011729,How to Deactivate Service Needs in Cloudview for a Specific equipment number,"How to deactivate all 24/7 Service Needs for a Particular Equipment Introduction: If you need to deactivate all service needs for a particular Equipment due to repair, customer agreement or other reasons, follow the instructions outlined in this document. Who can perform the deactivation? Technician Operator Local Admin Where: CloudView Disabled duration: 1hour - 14 days (After 14 days, service needs can be deactivated again if a longer duration is needed)","Step 1: Login to Cloudview Step 2: Search for the Equipment Number (KEN) that needs to be deactivated. Step 3: Open the search result, navigate to the "" Equipment "" section, then go to the "" Service Need Generation "" section and click on "" Deactivate "". Step 4:Fill in the following details and click "" Deactivate "": "" Deactivate for "" – Select the duration for deactivation. "" Reason "" – Choose the appropriate reason for deactivation. "" Additional information "" – Add any comments if necessary.",
KB00011732,KIS_EXTREME How to use the BypassDuplicate functionality to re-process invoices.,"We recognize the possibility that third-party issues, as well as unforeseen challenges, may emerge in the future. To preemptively prevent the creation of a Change Request (CR) to disable the duplicate check feature in the future, we have introduced a new functionality. This functionality allows for bypassing the duplicate check process for specific invoice numbers. It has been successfully deployed into production and is functioning as anticipated, thereby eliminating the necessity for the creation of an emergency CR in the future. Below are the steps to be followed for using the functionality.","Steps to use the duplicate check bypass functionality in Exstream. Download the bypass file: Login to production resource S3 server kis-k8s-prod.s3.amazonaws.com . Download the duplicateBypass.tbl file from /custom_resources/kis_prod/inner_custom/tables . Open the file : Open the downloaded file in any text editor. Add the invoice numbers you want to bypass the duplicate check, then a tab character (one or more) followed by word “BYPASS”. Invoice numbers must be entered exactly as they appear in BELNR idoc field (ie. With leading zeroes). Then save the file Lines starting with “//” are comment lines. Please leave them to the file. Please find the below example. Upload the file back to Production: Login to production S3, same location where you downloaded duplicateBypass.tbl. Upload the modified duplicateBypass.tbl to S3, replacing the old one. (If your FTP client doesn’t allow to replace the existing file, remove the old file first, and then upload) Wait for about one minute for Exstream pod to sync the files from S3. Or you can login to the Exstream pod with kubectl exec --stdin --tty prod-kis-app1-0 -- /bin/bash, and check from /opt/app/platform/custom/tables that the table has the invoices listed. Note : There is no need to restart the application after you have uploaded the file to production. It will sync to the database automatically in few minutes. Re-trigger the invoices : Trigger the invoices from SAP, or reprocess the invoices from input files from S3 – whichever method is appropriate. You can ask the user to re-trigger the invoice from SAP itself or post the input xml from postman to https://prod-exstream.konenet.com/invoice/kis-xml Find an example below. Clean the bypass file: Once you are done re-triggering confirm the same from Kibana logs and Tracking tool and then download the bypassDuplicate.tbl file again and erase the invoice no/nos you have added. Please do not remove the comment lines.Save these changes. 6. Upload the file again : Now upload the modified files back to S3 in the appropriate location.",
KB00011735,EPIL - How to troubleshoot job failure in database,,"Step 1: Connect to the EPIL database Step 2: Go to 'SQL Server Agent'. Then to 'Jobs'. Step 3: Then right click on the job 'ePil_ImportFromPackageSearchStaging'. Step 4: Then click 'View History'. Step 5: Click on the error. The error will be shown as below. Executed as user: KONENET\EUDVMMSSQL103_SEKO58. ------------ [SQLSTATE 01000] (Message 0) Populating PACKAGES [SQLSTATE 01000] (Message 0) Package Insertdbo.sp_ImportFromPackageSearchStaging: Violation of PRIMARY KEY constraint 'PK_PACKAGES'. Cannot insert duplicate key in object 'dbo.PACKAGES'. The duplicate key value is (9017275105). (Error No. 2627) at line # 68 [SQLSTATE 01000] (Message 0) Populating PACKAGES_LIST [SQLSTATE 01000] (Message 0) UPDATE Content for changed EXDIV [SQLSTATE 01000] (Message 0) Warning: Null value is eliminated by an aggregate or other SET operation. [SQLSTATE 01003] (Message 8153) Removing Processed Data from Package Search Staging Tables [SQLSTATE 01000] (Message 0) Package Insertdbo.sp_ImportFromPackageSearchStaging: Violation of PRIMARY KEY constraint 'PK_PACKAGES'. Cannot insert duplicate key in object 'dbo.PACKAGES'. The duplicate key value is (9017275105). (Error No. 2627) at line # 68Data clean upsp_StagingPackageSearchDataCleanUp: Column name or number of supplied values does not match table definition. (Error No. 213) at line # 9 [SQLSTATE 01000] (Message 0) ------------ [SQLSTATE 01000] (Message 0) Update Missing Project Ids [SQLSTATE 01000] (Message 0) Transaction count after EXECUTE indicates a mismatching number of BEGIN and COMMIT statements. Previous count = 0, current count = 1. [SQLSTATE 25000] (Error 266). The step failed. Step 6: As per the above error message there is duplicate value in inserting to 'Packages' table. Step 7: Run the below query and get the duplicate values and delete it. select * from hu_content where exidv like '%9017275105%' Step 8: Deleting the duplicate value will make the job to run successfully.",
KB00011740,Raise an Kone Field Form (KFF) access request through the MyAccess portal.,How to raise an Kone Field Form (KFF) access request through the MyAccess portal.,"MyAccess Portal Steps - (User need to follow the below steps) A new user, or a user who already has access to KFF but wants additional role access in the KFF application, needs to raise an access request through the MyAccess portal first. Below are the steps to raise an access request through the MyAccess portal. Step 1: Go to the MyAccess Portal and raise an access request. Here’s the URL: https://myaccess.kone.com/identityiq/home.jsf . Ex: Search in MyAccess -> Kone Field Forms: Supervisor – India (User need to enter/select the correct role and country) Select the correct role and submit the request. Step 2: After submitting the request, User need to check with the Country Business Key User for approval of the MyAccess request. Once the key user approves it, a service request ticket will be created in Ask It.",
KB00011769,Recreate corrupt baselines in AEM,How to recreate the corrupt baseline in AEM,"The baseline script was able to identify corrupt baselines and add the prefix corrupt_ to them. These need to be manually recreated. Open the corrupted baseline in AEM. Click the three dots next to the baseline you will recreate and choose Manage labels . Add the label “keyuser_fix”, select “all references” and click Apply . AEM will notify when the label has been added. Click the + button to create a new baseline. Use the following options for baseline creation: Baseline name: give the baseline the temp name WIP_[original baseline name] Baseline option: use file version Select the version based on: label Select labels: keyuser_fix Direct references: use the latest version if no version exists for the selected label Indirect references: use the latest version if no version exists for the selected label Click Apply . AEM will notify when the baseline is created. Open the WIP_ baseline for editing. Make sure the column “label” is visible. Enable filters in the excel file by selecting the top row and clicking Filter in the Data tab. Filter the Label column with all labels that do not have “keyuser_fix”. You know have a filtered list of assets that you need to modify in the baseline. Go to the baseline in AEM. Find the assets without the label keyuser_fix. The label cannot be used in the search so use the list in excel to find the files. Choose the correct version for each of these assets based on the following logic: Check the release label date for the ditamap. Choose the date that is the closest released date before or on the date of release for the map. For example, if the ditamap has label “Released 2023-08-30”, the topic/image release date should have the same or closest earlier. When you have finished selecting the versions, save the baseline. Click the three dots next to the baseline you have recreated and choose Manage labels . Remove the “keyuser_fix” label. Click the three dots next to the baseline you have recreated and choose Rename . Remove WIP_ and _1 from the baseline name and save.",
KB00011773,SPD - Commodity Management is not opening,,Step 1: Connect to the code and run the code. Step 2: Go to commodity Management and try to open the project which is not working by providing debugger. Step 3: The code was continuously loading in 'gvKONEData_RowDataBound' method. Step 4: The SP for binding that method is 'usp_GetCdtyKONEData'. Step 5: Pass all the required values and try to run that sp. Step 6: If the output is having more than 100 values then there is some issue. Step 7: Try to run the below query by passing appropriate values and the year less than 1 for the record which we are trying to fetch. select * from Cdty_KONE_reportDATA where year='2024' and unit='USK' and Supplier='Generic Supplier' and commodity='Gasoline' and Material='Generic Fuel' and Category='Car Fleet' Step 8: If there are records for more than one project then we have to delete for the others. delete from Cdty_KONE_reportDATA where year='2024' and unit='USK' and Supplier='Generic Supplier' and commodity='Gasoline' and Material='Generic Fuel' and Category='Car Fleet' and [spd project code]='USK2389',
KB00011774,User Access to FLCAD Global Dashboard,This article is about access request and provisioning of access-FLCAD Global Dashboard to users. The global dashboard is a facility to allow users to track the status of requests submitted by them for Layout generation. The access to Dashboard is provisioned only to the users who are part of KONE network and have a valid active KONE ID/KONE e-mail.,Access Management: The users can directly access the dashboard through its url- ' https://flcaddashboard.konenet.com '. This set of users can view only the progress status of the drawing requests they have submitted. Pre-requisites for accessing the dashboard: 1. The user should have valid KONE ID/KONE email and access to KONE Network. 2. The user should be connected to VPN successfully before accessing the dashboard.,
KB00011778,Production Access to Blackthorn Support Team,"Production Access to Blackthorn Support Team: In case of any discrepancy in Blackthorn functionality we will have to contact Support team via email as this is not Supported by Salesforce, Case can be created by sending the issue description to casesupport@blackthorn.io , Once case is created we may have to give the grant login access to Support if they ask to provide. Access can only be granted by user to whom the license is assigned.","Steps to provide Production access: To grant access in Production: Your Name > My Settings > Personal > Grant Login Account Access > 1 week to blackthorn.io. Currently AMS will grant access to Support team. Blackthorn Support Team will Impersonate user as a Delegated Admin who have granted access. Note - first Approval must be taken from Zuheb.Hussain@kone.com from Platform team once Approved then 3 days will be provided initially if Blackthorn Support Team ask us to extend access then AMS will extend it for 1 Week, beyond that access cannot be provided.",
KB00011780,MyAccess request to Power Platform,This article gives a stepwise guide to raise MyAccess request for Power Platform Roles.,"How to start MyAccess request Login to MyAccess URL : https://myaccess.kone.com . On the Home page you can see “Manage My access” or if you are requesting for another person you need to select from top-left corner's drop down (icon with 3 lines) Manage Access > Manage User Access. How to select the end-user If you select “Manage My Access” you will be directed to “Search Access” If you use “Manage User Access” you will be directed to “Search User”. Type last name or employee or contingent ID number and tick the circle next to the name (green when selected). After that click Next and you will be directed to access search. Which roles are available for Power Platform? Below roles will be available in MyAccess for Power Platform The roles are (in generic format) -MyAccess role for power automate premium license- Microsoft Power Automate Premium license. -MyAccess role for power automate premium license- Microsoft Power Apps Premium license -MyAccess Role for developer environment creation- Power Platform Development environment How to select required access or role Search access by typing access name, part of it, email id, old role name or application name. Hint : use the model: “Microsoft Power” the access group and then search Below you see the search result: Once you select the relevant role then click on the Next button. Review and Submission: Request will go to review and submission screen and Submit! Once the request is submitted, we will get the Req ID created and an will be sent to the respective user’s who raised the request for Confirmation. 1",
KB00011793,SPD - How to fix the Spend Actual for a Project,,"Step 1: Connect to the SPD production database. Step 2: Run the below query by passing the respective values. i.e. the errored data Unit, Commodity, Category, Material, Year-1 (If user is mentioning for 2024 then year will be passed as 2023), Quarter will be for each and every Quarter. select spend_pc,* from Cdty_KONE_reportMCCImpacts where unit='usk' and commodity='gasoline' and category='car fleet' and material='generic fuel' and year='2024' and quarter='Q1' select spendpc,* from Cdty_KONE_updateSpendToImpacts3 where unit='usk' and commodity='gasoline' and category='car fleet' and material='generic fuel' and year='2024' and forecast=1 and quarter='Q1' Step 3: Compare the Spend_PC and SpendPC from both the resultset. If the values are different then update 'spend_pc' of 'Cdty_KONE_reportMCCImpacts' table with the 'spendpc' of 'Cdty_KONE_updateSpendToImpacts3'.",
KB00011796,KONE Corporate Linux -Microsoft Intune Enrollment (or) Login Failure for Non-Compliant Devices,KONE Corporate Linux -Microsoft Intune Enrollment (or) Login Failure for Non-Compliant Devices,"KONE Corporate Linux -Microsoft Intune Enrollment (or) Login Failure for Non-Compliant Devices 1.0 Introduction Issue: Corporate Linux Ubuntu- Microsoft Intune Enrollment/Login Failure for Non-Compliant Devices For Non-compliant Linux Ubuntu devices, the users will encounter login failure and authentication difficulties on the Microsoft Intune Application, as shown below. Instructions : Prerequisites: 1). The End User has to raise a incident ticket with the KONE Linux Support team to remove any existing Linux device entries from the Intune and Azure portals. 2). Intune Linux Admin task: Login to Intune portal, verify that the device has been removed from the Intune and Azure portals, and delete any existing Linux device entries . 2.0 Resolution steps for Linux Intune Enrollment (or)Login issue Open the terminal window on Linux Ubuntu device and run the below resolution steps. Step 1: Stop Identity Service sudo systemctl stop microsoft-identity-device-broker y systemctl --user stop microsoft-identity-broker Step 2: Clean up state sudo systemctl clean --what=configuration --what=runtime --what=state microsoft-identity-device-broker systemctl --user clean --what=state --what=configuration --what=runtime microsoft-identity-broker rm -r ~/.config/intune Step 3: Uninstall the Intune package sudo apt remove intune-portal Step 4: Uninstall any versions of Edge that are installed sudo apt remove microsoft-edge-dev Step 5: Optional, but this can potentially free space by some larger dependencies that the auth broker require sudo apt autoremove Step 6: remove secrets stored sudo apt install libsecret-tools -y secret-tool search --all env 60a144fbac31dfcf32034c112a615303b0e55ecad3a7aa61b7982557838908dc secret-tool clear env 60a144fbac31dfcf32034c112a615303b0e55ecad3a7aa61b7982557838908dc secret-tool search --all name LinuxBrokerRegularUserSecretKey –unlock secret-tool search --all name LinuxBrokerSystemUserSecretKey –unlock secret-tool clear name LinuxBrokerRegularUserSecretKey secret-tool clear name LinuxBrokerSystemUserSecretKey Step 7: Please reboot the device. 3.0 Install Microsoft Intune app for Ubuntu Desktop Install Microsoft Intune application ( Enroll a Linux device in Intune | Microsoft Learn ) Run the following commands in a command line to manually install the Microsoft Intune app and its dependencies on your device. 1. Install Curl. sudo apt install curl gpg 2. Install the Microsoft package signing key For Ubuntu 22.04: curl https://packages.microsoft.com/keys/microsoft.asc | gpg --dearmor > microsoft.gpg sudo install -o root -g root -m 644 microsoft.gpg /usr/share/keyrings/ sudo sh -c 'echo ""deb [arch=amd64 signed-by=/usr/share/keyrings/microsoft.gpg] https://packages.microsoft.com/ubuntu/22.04/prod jammy main"" > /etc/apt/sources.list.d/microsoft-ubuntu-jammy-prod.list' sudo rm microsoft.gpg 3. Install the Intune app. sudo apt update sudo apt install intune-portal 4. Reboot your device. 4.0 Sign-in to Microsoft Intune application & Enroll the Device. Open Microsoft Intune application and sign in and ensure device status is compliant. Follow these steps to sign-in a Linux device on your organization's network. Open the Microsoft Intune app & sign in with your work or school account. Review the pre-enrollment screens. Then select Next to begin enrollment. Wait a few minutes while the Intune app enrolls your device. The device will require a few minutes to sync with KONE compliance Polices and become device compliant. Click refresh to sync the device If device is still non-Compliant contact KONE Linux Support Team “ kone.Linuxsupport@kone.com” **********************************************DONE*********************************************************",
KB00011799,MES - Stopping replication should be done through script,"When we use SQL agent Job for stopping the individual jobs, the SL data drive in SQL server becomes full","We need to stop the replication using SQL command below instead of stopping individual jobs from SQL agent Job EXEC sp_repldone @xactid = NULL, @xact_sgno = NULL, @numtrans = 0, @time = 0, @reset = 1;",
KB00011800,KEO - How to fix material catalogue old format import issue,KEO - How to fix material catalogue old format import issue,"While importing the material catalogue file in Kone Easy Order tool, if the below error pops up, copy the last few GUID. Login to KEO server and open the log file using the below path and check for the error. D:\TMA\_LOGS\PROD\EasyOrder\20241008.log Check whether Supplier mapped for the materials for Belgium unit is mapped for any other unit in MAT.ProductDetails table. If yes, create additional Supplier in MAT.Supplier table and map the newly created Supplier to other unit’s materials. Below are the queries for the same. Check for Suppliers mapped for materials in Belgium unit. select * from [MAT] . [ProductDetails] where Plant = 'BEL' Check for Suppliers mapped for materials under other units. select * from [MAT] . [ProductDetails] where FK_Supplier in ( '3073' , '3074' ) Creation of additional Supplier with same name in MAT.Supplier table. insert into [MAT] . [Supplier] values ( 'GSS' , 'FSL_023' , '0' , '0' ), ( 'Hilti' , '70038993' , '0' , '0' ) Update the other units using the below query. update [MAT] . [ProductDetails] set FK_Supplier = '4072' where PK_ProductDetails in ( '308179' , '308180' , '308181' , '308182' ) Try importing the material catalogue and import will be successful.",
KB00011809,DOS - PF - Request to Unarchive the Project in the sharepoint site,"1. If the project is in Archived state, the users will not be able to add/upload new files to that project/folder. The documents and files present in the project will be in Read-only mode. 2. Once the project is Unarchived , it will be in Edit-mode where users can add new files or edit existing files.","Please follow the below steps to unarchive the project in the Project Folders site. Step 1: Open the Project Folders site and search for the project using the search bar Step 2: Right Click on the project name , We can able to see the Unarchive option . Step 3: Select the Unarchive option and click on Unarchive Button. Please refer the screenshot below.",
KB00011811,How to Change the Status of Field/Express Letters in SAP.,This KBA will describe How to change the status of Field/Express Letters in SAP.,"Please follow the Below steps to change the status of The Field/Express Letters. Note : Please follow the below process/workaround only if there was any error while change the status of Field letter/Express letter from IMT3 app. Step 1: Login to the SAP system and Enter the CN22 T-code. Step 2: Enter the Network Number and click on the Activity Overview button . Step 3: Scroll Down to the Field/Express letter and double-click on the value in the Activity column. Step 4: Click on the "" i"" button next to the System Status field. Please refer the below screenshot Step 5: Select the Option in "" Status with status Number "" field and click on Back button. Step 6: Click on the Save button to save the changes. Please refer the below screenshot . If the Status of the Field/Express letter has changed to Completed, then that Field/Express letter will not be displayed in IMT3 app.",
KB00011816,Confluence Cloud SandBox Access,"To get Confluence Cloud Sandbox access, user should have Confluence Cloud access. That is, the user should be part of ConfluenceCloud_User group. If not guide the users to raise a request in MyAccess for the role ConfluenceCloud: User. Instructions are provided in https://koneprod.service-now.com/esc?id=kb_article&table=kb_knowledge&sysparm_article=KB0011372&searchTerm=confluence%20cloud","Kindly follow the steps given below to provide Confluence Cloud Sandbox access: Step 1: Login to Confluence Cloud Sandbox -> Click on the icon, dropdown the Confluence option and Select kone-sandbox-256 . Step 2 : Click on Settings icon and click on User Management . Search for the user and click on the user's name Step 3 : Enable the Confluence option. NOTE : Users can check by logging in to the Confluence Cloud -> Click on the icon, dropdown the Confluence option and they will find the option kone-sandbox-256 .",
KB00011822,How to Reset Citrix Workspace,How to Reset Citrix Workspace,"This article provides step-by-step instructions on how to reset the Citrix Workspace. This process can help resolve various issues related to the Citrix Workspace. Steps to Reset Citrix Workspace In the lower right corner, near the clock, select the up arrow. Right-click on the Citrix Workspace icon. Select Advanced Preferences. Click on Reset Citrix Workspace and respond Yes. Click Yes, reset Citrix workspace Kindly enter the URL - https://konecitrix.cloud.com and enter the credentials. Following these steps will help you reset the Citrix Workspace and resolve any related issues. If you continue to experience problems, please contact VDI support team for further assistance.",
KB00011823,AEM - Guide for resolving common issues,How to troubleshoot the issues that arises in AEM?,"This document addresses common issues in AEM/TIP. Some of the common issues are listed below: 1. PDF issues a) PDF generated with error The error 'file:/mnt/crx/author/crx-quickstart/profiles/ditaot--c71918cf-a8a4-9609-0b2e-cf6f8bf83512/DITA-OT/temp/temp20240521084215397/d35faf9df961a797d19a37a863d63bfc7bd87b1f.dita' does not exist or cannot be loaded may occur while generating PDF. This error might happen if there are improper header tags in the reltable. It requires validation within the XML editor. Solution Identify the reltable with the ID from the error log. Open the source view of the reltable with the error. Check for improper header tags, delete them, save the asset, and generate the PDF output. b) Table column issue The error may occur when table columns are not aligned properly. Solution Some column values were in ""mm"". c) PDF not generated (Red output) The error Expected scheme-specific part at index 5: x-wc may occur while generating PDF. This error might happen if there are any Windchill references available in the ditamap. Solution Identify the Windchill reference used in the topic. Remove the internal reference, save the asset, and generate the PDF output. Note: If any windchill reference still exists, we have a solution to fix it. d) PDF not generated (Red output) The error Index 1 out of bounds for length 1 may occur while generating the PDF. This error might be caused by a simple table issue. Solution The simple table has a header row. Remove the header row from the simple table and generate the PDF output. 2.TIP issues a) Topics Missing in TIP Some topics may be missing when published to TIP. This could be due to topics containing <shortdesc> and other old Windchill elements in their meta information. Solution: Remove the Windchill meta information and republish to TIP. This will make the missing topics visible. b) Image not visible in TIP output The error message in TIP will be svg invalid ""dl10163003issuel1forrelease/1d7ea24e-db89-4a24-8aeb-7fadd4564388.svg"": Start tag expected, '<' not found, line 1, column 1 (1d7ea24e-db89-4a24-8aeb-7fadd4564388.svg, line 1) . Solution: Republish the ditamap to TIP, which will make the missing images visible. c) Publishing to External Subcontractors TIP does not work We cannot see the published document in EXT-TIP. This issue is related to the filter. Solution: Log in through SSO and select the filter as ""Last update"" instead of ""Relevance"" so we can find the recently published document. d) TIP publication error Some topics may not have been published in TIP. This issue might be due to the column width value being set in px in the table. Solution: Remove the px value, replace it with *, and republish to TIP. Image Oversize The image inside the table is oversized for the column. Solution: Fix this by removing the height and width attributes of the image in the source view.",
KB00011825,How to submit access request for QlikSense dashboards,This article provides step-by-step instructions on how to submit the access requests for QlikSense dashboards.,"Click on the following link - Kone Employee Center Homepage - Kone Employee center (service-now.com) Login with SSO Search for ‘Visual Analytics – Qlik Sense’. (Type in the Key words like Qlik, QlikSense, Sense, access, requests, Finance, FL, SL access.) Qlik Sense access request form opens. Fill in the required details in all the fields. Download the access request form template - QlikSense_reports_access_form updated.xlsx (sharepoint.com) Fill the access request form. Use the ‘Sample Access Form’ as reference to fill the template. Save and upload the document in the request form. Click on Order Now to submit the request.",
KB00011828,Equipment status manual push from ENA Konect to Salesforce,Issue Equipment may be shown running in ENA Konect but shows Stopped in Salesforce. ENA Konect Salesforce,"Fix Manually stop the equipment in ENA Konect. Then, put in back in Running state. This will update the stopped/Running statuses in Salesforce through the MuleSoft interface. This can be verified in DERP database. The tables are – EQUIPMEMENTSTATUS_MESSAGES & EQUIPMENTSTATUS_RECORDS",
KB00011831,Changing User Preferred Language in ServiceNow,This document outlines the steps to change the preferred language for a user in the ServiceNow portal. Users can customize their experience by selecting a language that suits them.,"Step 1 : Log In to the ServiceNow Portal Kone Employee Center Homepage - Kone Employee center (service-now.com) Step 2 : Select User Profile Step 2.1: Once logged in, locate your user profile icon. This is typically found in the top right corner of the portal. Step 2.2: Click on your user profile icon to open the user menu. Step 3: Select Profile Settings From the dropdown menu, select “Profile” Step 4: Go to User Preferences: Step 4.1: Scroll down to see the “USER PREFRENCE “box Step 4.2: In the language field, Select the preferred language: Step 5 : Save Changes Step 5.1: After selecting the preferred language, you will find the “Refresh to see changes” button. Step 5.2: Click “Refresh to see changes” to apply your changes. Step 6: Verify Language Change Step 6.1: Refresh the portal page or log out and log back in to see the changes. Step 6.2: Navigate through the portal to confirm that the language is updated as per your selection. Scenario- 1: If you need to receive the CSAT survey in Chinese language, Select the language as Chinese (Simplified) or Chinese (Traditional) Chinese simplified Chinese traditional Save Changes: 1. After selecting the preferred language, you will find the “Refresh to see changes” button. 2. Click “Refresh to see changes” to apply your changes 3. Then you will receive all your CSAT survey in your preferred Languages. Conclusion: You have successfully changed your preferred language in the ServiceNow portal. This customization will enhance your user experience by allowing you to navigate the platform in your preferred language.",
KB00011832,How to restore a Pervious version of a file in the SharePoint site ?,"When a user accidentally replaces the content of a file stored on a SharePoint site, the previous version of the file can be restored using the steps below.","Step 1: Go to SharePoint site and select the project Step 2: Select the files and right click then select version history. Step 3: Select the file and click that tiny down arrow mark. Step 4: Select ""Restore"" option and save it.",
KB00011842,KIS_EXSTREAM_Steps to perform UAT,"As we know if any change is requested or is needed to be made in order to resolve an issue, we require a Change request to be approved. For this CR to get approved the UAT must be performed and the results and confirmation should be shared by the end user. Following are the steps to be taken to perform the User Acceptance Testing for KIS.","Steps: The end user testing must be performed by the KBS team member of the respective frontline. An idoc is to be passed through SAP in Z03 environment consisting all the required information to be checked and verified. If the IDOC is triggered correctly it will be passed to SAP BTP. Frontlines where Pagero is involved, the Pagero team should be informed about the invoice no's triggered for UAT. After which they will process those invoices. Do not forget to mention to process them as Test invoice. Below is an example For other frontlines, the invoices will be processed as usual. Now get the outputs from SAP and share the UAT results.",
KB00011848,Things to consider while clicking on Send Packing Info button in POD Screen.,Things to consider while clicking on Send Packing Info button in POD Screen.,"Step1: Login to Desktop Client Step2: Go to POD Screen, select any one of the order which you need to send the packing information and click on Operations Tab. Step3: Select the Operation and click on Send Packing Info button. Step4: Before Clicking on Send Packing Info button make sure that the Order's facility and Employee's facility are same. Eg. Order Facility = A, Employee Facility = A Step5: Please make sure that don't use this function too often, if it is really requested from user then do it in supervision of Senior Team member in the Team.",
KB00011850,"How to create intelex report - KONE Safety Solution (KSS, Intelex)",This KBA is useful for end users & support team to create Intelex reports.,"Create Intelex Reports From Intelex Home Page, click on Search Apps, Reports and Dashboards, click on Reports & Dashboards and the click on “Create new report” and then, click on “V6- From an Application Object”. In Next page, select an Object like “Incident, Near Miss, Inspection, Employees”. Then click on “Create Report”. In next page, few basic columns will be added by default and can be removed or you can add additional columns from “Data Sources” panel buy just dragging the column till Columns section in “Settings Panel” and then click on refresh the report preview. More information about the symbols available in Intelex report - Refreshes the report and preview your data. - Save the report and be on the same page. - Security Button: Grant access to end users with View and View & Edit permission. - Filters: To fetch the data with your conditions. - Preview – You can preview your data before you export the report - Clone: You can create a new report by having the configurations you made for existing report. - Delete: You can delete the report using this button. - Once you are done with adding columns and filters, click on Save & Exit from the report. Once you click on this button, you will see below window to fill Name of the report and Description. Then click on Save Once you click on Save & Exit, you will be re directed to the reports page where you can see the reports that you have access to view. You can export the report by clicking on Export button and then select the format. Report Access: 1. Go to Reports & Dashboards Page, search with Report ID and click on the Edit Icon 2. Then click on Security Icon , then add user in the View or View & Edit section, as per the user's request and the click on Apply. 3. Make Sure to click on Save & Exit once you Apply the changes. Else the access will not be assigned to user",
KB00011851,"How to Create New Development Opportunity for KONE Safety Solutions (KSS, Intelex)","This KBA is useful for end users to create New Development Opportunity for KONE Safety Solutions (KSS, Intelex)","New Development Opportunity - KONE Safety Solutions (KSS, Intelex) This form is used to create New requirement from end users/ Key users of KSS Intelex. Open URL New Development Opportunity - Kone Employee center to see below form Below are the required fields which needed from end users Select Self if the request is for you and other if you are creating this request on behalf of another user and select their Name under Requested for. Title: Fill the field with short description of your requirement. “Opportunity/Problem and Requirement Description”: Fill the field with the complete details of your requirements. Service Offering: KSS – KONE Safety Solutions Business Unit: Type the business unit respective to your requirement. Requesting Unit: Select correct Unit from the drop-down list Select the priority. If the priority is selected as 1 & 2, it might be changed after the analysis & urgency done by solution team and you will be informed about that. Business Contact: Aswin P S (Solution Design Owner) Once the form is filled, click on Submit button. You will receive a notification from ASKIT with the new development opportunity number.",
KB00030001,MES - How to stop MS SQL replication,"We have had issues in the past, when we did right click and stopped replication job from SSMS job agent During investigation, we got script for stopping replication properly","We need to stop the replication using SQL command below instead of stopping individual jobs from SQL agent Job EXEC sp_repldone @xactid = NULL, @xact_sgno = NULL, @numtrans = 0, @time = 0, @reset = 1;",
KB00030006,This article explains how to raise a service request or an incident with Enterprise Data Analytics (EDA),This article explains how to create an incident or raise a service request with the Enterprise Data Analytics products Incident : Anything in production that's not working as expected Service Request : Any new feature / change / access request,"Raising an incident with Enterprise Data Analytics Navigate to Service Now, Employee Service Portal ( Kone Employee Center Homepage - Kone Employee center ) Click on ""Something doesn't work"" Please use the below table to pick the right service which is not working Application Support Group Risk Ranking PROD 1. Risk Ranking Support 2. Data and Advanced Analytics Domains Support Lead Engine PROD 1. Lead Engine Support 2. Data and Advanced Analytics Domains Support Opportunity Scoring PROD 1. Opportunity Scoring Support 2. Data and Advanced Analytics Domains Support Equipment contract status PROD 1. Equipment contract status Support 2. Data and Advanced Analytics Domains Support Service Pricing Engine PROD 1. Tendering and Order Configuration Advanced Analytics Support 2. Data and Advanced Analytics Domains Support Sustainability Assistant PROD 1. Sustainability Solutions Advanced Analytics Support 2. Data and Advanced Analytics Domains Support Collibra PROD 1. Data Governance Support 2. Data Governance Platform Support Reference Data Solution PROD Common Data Products PROD Common Data Products Support Service Data Domain PROD 1. Service Data Domain Support 2. Data and Advanced Analytics Domains Support Marketing and Sales Data Domain PROD 1. Marketing and Sales Data Domain Support 2. Data and Advanced Analytics Domains Support Source of Truth PROD 1. Source of Truth Support 2. Data and Advanced Analytics Domains Support Supply Planning Order Orchestration (SPOO O9) PROD 1. Supply Planning Order Orchestration (SPOO O9) Support 2. Data and Advanced Analytics Domains Support Finance Data Domain PROD 1. Finance Data Domain Support 2. Data and Advanced Analytics Domains Support Data Science Platform PROD (Databricks Platform & Workspaces) Core Data Platform (KDP) Support Data Ingestion and Normalization Layer PROD Fill in the details and click on ""Submit"" Raising Service Request with Enterprise Data Analytics Navigate to Service Now, Employee Service Portal ( Kone Employee Center Homepage - Kone Employee center ) Search for ""Enterprise Data Analytics"" and select the catalog item ""Service Request for Enterprise Analytics Products "" Select the right product from the drop-down list Describe the request and click on "" Order Now""",
KB00030012,KEO - How to enable the order quantity restriction in KEO application,,Step 1 : Go to URL - https://koneeasyorder.kone.com/ Step 2 : In settings using drop down click “General Settings” option. Step 3: Tick “Order Quantity restricted” option under Order quantity restricted.,
